grapherId,slug,chartType,md5,svgFilename
5253,death-rate-road-traffic-injuries,undefined,8729819cae67299006ee87510f4e38df,death-rate-road-traffic-injuries_v12_850x600.svg
4381,per-capita-solar,undefined,06d8ae9a93e45f71102b344483d5c9fa,per-capita-solar_v18_850x600.svg
3998,hospital-beds-per-1000-people,undefined,b5e3573f5760671f0547240843409cc8,hospital-beds-per-1000-people_v16_850x600.svg
931,share-of-adult-women-overweight-or-obese-vs-daily-caloric-supply,ScatterPlot,1b7c9525068e3dc926319d02345c8942,share-of-adult-women-overweight-or-obese-vs-daily-caloric-supply_v18_850x600.svg
2076,proportion-of-population-served-by-municipal-waste-collection,DiscreteBar,035ef85336357472beb3d3f2b6a3ac47,proportion-of-population-served-by-municipal-waste-collection_v15_850x600.svg
2244,share-of-population-with-cancer-by-age,undefined,4834e6f39569168b2ceb9117394b2cf5,share-of-population-with-cancer-by-age_v11_850x600.svg
6280,migrant-stock-share,undefined,37b5250cee1265cc6cd85fc13cabd6f9,migrant-stock-share_v1_850x600.svg
2620,share-with-alcohol-vs-drug-use-disorder,ScatterPlot,efc2ff12c99dd0ba5e7df0f4f4ac3502,share-with-alcohol-vs-drug-use-disorder_v18_850x600.svg
1899,share-graduates-stem-female,undefined,664dd21061b158503b55ad9f494bfbaf,share-graduates-stem-female_v7_850x600.svg
5405,annual-growth-of-exports-of-goods-and-services,undefined,28bcb7d2633d3937d3f66cdd9b3519a5,annual-growth-of-exports-of-goods-and-services_v6_850x600.svg
1297,births-and-deaths-projected-to-2100,undefined,25f2390e1e1d64981e5403d53fee3111,births-and-deaths-projected-to-2100_v10_850x600.svg
5637,electricity-imports-share-demand,undefined,abdb9202a69aa57ca311cf9e1be621e4,electricity-imports-share-demand_v15_850x600.svg
569,installed-global-renewable-energy-capacity-by-technology,StackedArea,76f46cd25c899d5154832ef9da3d0e6e,installed-global-renewable-energy-capacity-by-technology_v6_850x600.svg
92,breakdown-of-united-nations-peacekeeping-forces,StackedArea,f63bd0a85a5009ed0b7fe73aaefb2d48,breakdown-of-united-nations-peacekeeping-forces_v10_850x600.svg
6274,share-global-cumulative-co2-including-land,undefined,4af86d0f2b3ff9ff5d766df7d61be89e,share-global-cumulative-co2-including-land_v5_850x600.svg
1263,mobile-cellular-subscriptions-per-100-people,undefined,04655e29c1e997c5a2094d2dc18ebe8b,mobile-cellular-subscriptions-per-100-people_v23_850x600.svg
4711,uk-daily-covid-cases-7day-average,undefined,c1cbb04f7818f682f1c50c60ffe6f5f5,uk-daily-covid-cases-7day-average_v758_850x600.svg
6046,median-daily-per-capita-expenditure-vs-gdp-per-capita-2011-ppp,ScatterPlot,e9c8b666097873d49284e2813544842a,median-daily-per-capita-expenditure-vs-gdp-per-capita-2011-ppp_v51_850x600.svg
66,maternal-mortality-rate-per-100000-live-births-around-the-world,undefined,55fbd8b982bfbabd9c5f43fe6dda8578,maternal-mortality-rate-per-100000-live-births-around-the-world_v15_850x600.svg
3534,threatened-mammal-species,undefined,d84ba75debc75098f898379deff92f20,threatened-mammal-species_v18_850x600.svg
3150,gini-index-around-2015-vs-gini-index-around-2000,ScatterPlot,e5b0c6018a015a374eac84426f390ae1,gini-index-around-2015-vs-gini-index-around-2000_v12_850x600.svg
5095,share-global-excess-phosphorous,undefined,78866f8758d7f8155e3b5471940b5d5c,share-global-excess-phosphorous_v3_850x600.svg
4147,total-ghg-emissions,undefined,0cacd5e2bec8f397476f9c875b9b20d0,total-ghg-emissions_v24_850x600.svg
336,taxes-on-incomes-of-individuals-and-corporations-gdp,undefined,74217ec94cff183e060e09ec3b81d530,taxes-on-incomes-of-individuals-and-corporations-gdp_v12_850x600.svg
4986,food-emissions-supply-chain,StackedDiscreteBar,be553f6a18ff04681738479ec8147e51,food-emissions-supply-chain_v17_850x600.svg
5854,cumulative-exoplanets-by-method,StackedArea,8bd08036b0e16132cbae6a5bd054c9e1,cumulative-exoplanets-by-method_v27_850x600.svg
5068,share-without-improved-sanitation,undefined,84bf62314100ec1bc4f52c17d3b9659f,share-without-improved-sanitation_v3_850x600.svg
4388,annual-percentage-change-coal,undefined,55bd2f500dbb9dbbb24f1f2f4ccbf141,annual-percentage-change-coal_v17_850x600.svg
2843,merchandise-exports-gdp-cepii,undefined,6a802b71effc820d877885f082d099b0,merchandise-exports-gdp-cepii_v19_850x600.svg
938,share-of-global-habitable-land-needed-for-agriculture-if-everyone-had-the-diet-of,DiscreteBar,1b3da40f592e5e36826c6d56e8b49207,share-of-global-habitable-land-needed-for-agriculture-if-everyone-had-the-diet-of_v9_850x600.svg
560,co-emissions-per-capita-vs-the-share-of-people-living-in-extreme-poverty,ScatterPlot,19e3638b9b15aaedb1ddc95bad17811f,co-emissions-per-capita-vs-the-share-of-people-living-in-extreme-poverty_v41_850x600.svg
6289,ict-adoption-per-100-people,undefined,e1fbd0d9ae0b7783edc430f52eccf907,ict-adoption-per-100-people_v33_850x600.svg
752,prevalence-of-undernourishment-vs-share-of-population-living-in-absolute-poverty,ScatterPlot,1905df72bc63a15e793ad68279b256c0,prevalence-of-undernourishment-vs-share-of-population-living-in-absolute-poverty_v29_850x600.svg
2629,share-of-men-defined-as-obese,undefined,ba4064f5f98e790c1c0fec6e412879cb,share-of-men-defined-as-obese_v12_850x600.svg
4718,daily-covid-19-vaccination-doses,undefined,f35d20aeff99f9d83c494920deb6d957,daily-covid-19-vaccination-doses_v1451_850x600.svg
1058,number-of-people-employed-in-agriculture,undefined,d1d4cb3bfa6bc1c06306b6baba60e2f9,number-of-people-employed-in-agriculture_v9_850x600.svg
4972,rye-yield,undefined,b02b6e68542ddb642c9a04e7f0128685,rye-yield_v3_850x600.svg
3965,number-with-without-safe-water,StackedBar,b824feeebf01ff0903ad514830f03e9e,number-with-without-safe-water_v2_850x600.svg
3159,share-guardian-media-coverage,StackedArea,231e8a44c0d199ca3315ac6a2eef74f6,share-guardian-media-coverage_v2_850x600.svg
2616,alcohol-consumption-per-person-us,StackedArea,adf03014c5a493f67c1ced8b63e95400,alcohol-consumption-per-person-us_v5_850x600.svg
6084,death-rate-from-liver-disease,undefined,7359776a4ee344bfc3115d27a4c14cfc,death-rate-from-liver-disease_v4_850x600.svg
2424,value-added-vs-share-of-emissions-china,ScatterPlot,22b8f18b8a1712659b4173a2cc2d9cad,value-added-vs-share-of-emissions-china_v13_850x600.svg
5601,nuclear-weapons-proliferation,StackedBar,52ed4c21ec3101e634d51cb3fad7dace,nuclear-weapons-proliferation_v24_850x600.svg
2040,gender-gap-in-hourly-wages-vs-ratio-of-female-to-male-labor-force-participation,ScatterPlot,4acd661df6b370e89339ae7d6c945e1f,gender-gap-in-hourly-wages-vs-ratio-of-female-to-male-labor-force-participation_v11_850x600.svg
5265,coverage-of-wetlands,undefined,49d734b7e0408dd66000a77e0e6edca1,coverage-of-wetlands_v9_850x600.svg
4185,covid-19-daily-tests-vs-daily-new-confirmed-cases-per-million,ScatterPlot,921143466aa9ad019e65ab34df6ee031,covid-19-daily-tests-vs-daily-new-confirmed-cases-per-million_v3318_850x600.svg
5057,use-of-interpolation-and-extrapolation-on-maddison-gdp-per-capita-data,ScatterPlot,75f9a352f3ce852f0c7c316899ef75f6,use-of-interpolation-and-extrapolation-on-maddison-gdp-per-capita-data_v8_850x600.svg
2272,number-of-daily-smokers-gender,LineChart,56b4736c8d510b82786c77cc915aa5e8,number-of-daily-smokers-gender_v11_850x600.svg
6414,number-of-countries-with-woman-head-of-government,StackedArea,dbf9b3e106f9f246e6e48b20e77275cd,number-of-countries-with-woman-head-of-government_v34_850x600.svg
3166,global-disaster-losses-gdp-share,StackedBar,8bc509330092652302ef93ebd49fab01,global-disaster-losses-gdp-share_v2_850x600.svg
4343,marriages-uk-ended-in-divorce,LineChart,f292641514f7891bd5011524dd33d186,marriages-uk-ended-in-divorce_v2_850x600.svg
5291,overarching-legal-frameworks-regarding-gender-equality,undefined,f106c3a52794eeed63ef04366687edd3,overarching-legal-frameworks-regarding-gender-equality_v7_850x600.svg
1403,solar-energy-consumption,undefined,2f053636dc9ca466651aacea68373ded,solar-energy-consumption_v22_850x600.svg
2286,share-of-population-infected-with-hiv-ihme,undefined,714e0e68e6f89d6f1314106988198dd7,share-of-population-infected-with-hiv-ihme_v19_850x600.svg
3354,sex-ratio-at-birth-vs-five-years-old,ScatterPlot,36b2d0efcb4add7c3144929d860cdb5e,sex-ratio-at-birth-vs-five-years-old_v10_850x600.svg
1067,share-of-total-energy-used-in-agriculture-and-forestry,undefined,f422521d1a2537cf8a16367ac7838f9b,share-of-total-energy-used-in-agriculture-and-forestry_v3_850x600.svg
4515,passenger-km-international-aviation,undefined,d7fde581e691b2d68217973913729ccc,passenger-km-international-aviation_v4_850x600.svg
6242,nuclear-warhead-inventories,StackedDiscreteBar,be0409f790b9bc2b633b971feaf4dc10,nuclear-warhead-inventories_v65_850x600.svg
3730,deaths-from-pneumonia-in-people-aged-70-and-older-by-risk-factor,undefined,b8a05bfc56b829b9de406db04845b9d6,deaths-from-pneumonia-in-people-aged-70-and-older-by-risk-factor_v12_850x600.svg
799,prevalence-of-vitamin-a-deficiency-in-pregnant-women,DiscreteBar,22aa4d7d79e2f3ac6cc39aaf42940564,prevalence-of-vitamin-a-deficiency-in-pregnant-women_v6_850x600.svg
6070,burden-of-disease-who,undefined,dfa95bd02672e4196fcd82c6012fed53,burden-of-disease-who_v6_850x600.svg
1255,children-who-experience-violent-discipline-boys-vs-girls,ScatterPlot,24bda039d9c47a03c064f3abdb3b7059,children-who-experience-violent-discipline-boys-vs-girls_v12_850x600.svg
1609,youth-literacy-female,undefined,7b4f2915cfdb224788933af0f6910e99,youth-literacy-female_v4_850x600.svg
3962,number-without-clean-cooking-fuel,undefined,629aed29ac691456bf6bdcd2721431c5,number-without-clean-cooking-fuel_v5_850x600.svg
6048,distribution-of-population-poverty-thresholds-2011-ppp,StackedArea,1262a3f2b9ca75f83f65b3dac3837ad3,distribution-of-population-poverty-thresholds-2011-ppp_v42_850x600.svg
755,share-of-individuals-using-the-internet,undefined,c183b47355888feee85c5bba0710e04f,share-of-individuals-using-the-internet_v40_850x600.svg
1897,net-enrollment-rate-pre-primary,undefined,d74db73e5aab8079944d061caf6dd48f,net-enrollment-rate-pre-primary_v6_850x600.svg
1299,pisa-scores-of-15-year-olds-by-reading-proficiency-level,StackedDiscreteBar,76b8e800fc275feb601f6fb80e139db0,pisa-scores-of-15-year-olds-by-reading-proficiency-level_v11_850x600.svg
5639,cases-of-paralytic-polio-from-vaccine-derived-viruses-by-strain,undefined,ee115ecdf688fc7d17b06ffa45800023,cases-of-paralytic-polio-from-vaccine-derived-viruses-by-strain_v20_850x600.svg
2844,merchandise-imports-gdp-cepii,undefined,f2bf65edc65eecec5768b9ffadb37fe0,merchandise-imports-gdp-cepii_v10_850x600.svg
3996,share-cereals-industrial-uses,undefined,bce994ed64caf64d85f0492bee15e59f,share-cereals-industrial-uses_v3_850x600.svg
2078,material-footprint-per-capita,undefined,65111aa2d6223080ff1a59f13a7d62d9,material-footprint-per-capita_v13_850x600.svg
331,income-taxes-share-of-revenue-europe,LineChart,033c8ccacd1905d4f8eb0a5d57668adb,income-taxes-share-of-revenue-europe_v3_850x600.svg
3398,child-deaths-by-life-stage,StackedArea,6bc6f13ca1186aa403ca8d6cbe2b8526,child-deaths-by-life-stage_v6_850x600.svg
6077,death-rate-from-diarrheal-diseases,undefined,e915ad85962bc2fb0b0be9fe8b482725,death-rate-from-diarrheal-diseases_v2_850x600.svg
1060,output-of-key-industrial-sectors-in-england-and-the-uk,LineChart,cc7131cb89410b6680fef70a85e72ed8,output-of-key-industrial-sectors-in-england-and-the-uk_v4_850x600.svg
3737,number-of-new-hiv-child-infections-vs-number-of-infections-averted-due-to-pmtct,undefined,d821544f315ee31cd7bf3277ccf35431,number-of-new-hiv-child-infections-vs-number-of-infections-averted-due-to-pmtct_v2_850x600.svg
1404,solar-pv-energy-consumption-vs-solar-pv-capacity,ScatterPlot,0b8c2a7f3ea886a6c4283ddf4600fe95,solar-pv-energy-consumption-vs-solar-pv-capacity_v8_850x600.svg
4176,workplace-closures-covid,undefined,0c855e7fd8a09beee9777bf3eb2790b3,workplace-closures-covid_v2751_850x600.svg
2281,cancer-deaths-rate-and-age-standardized-rate-index,LineChart,069f95e4dd5b7d4b78f0975f8337028d,cancer-deaths-rate-and-age-standardized-rate-index_v17_850x600.svg
3353,sex-ratio-at-five-years-old,undefined,4802426b4e253feda0e8092db4a28898,sex-ratio-at-five-years-old_v9_850x600.svg
6413,number-of-countries-with-woman-head-of-state,StackedArea,45e8b6a3c91b75e1136657c15fff6a79,number-of-countries-with-woman-head-of-state_v30_850x600.svg
4344,uk-log-of-real-gdp-per-capita-in-2011-us,undefined,9c7b0250dea31bc9a90faf33325a0435,uk-log-of-real-gdp-per-capita-in-2011-us_v6_850x600.svg
4182,international-travel-covid,undefined,0b94a08cbe4e42f7979bb88eb216fe0d,international-travel-covid_v2746_850x600.svg
2275,prevalence-of-autistic-spectrum,undefined,d1288b43e59767ef33b3169e549f4c54,prevalence-of-autistic-spectrum_v11_850x600.svg
2047,proportion-of-individuals-who-own-a-mobile-by-sex,DiscreteBar,9de92500ac0b103e7f6ebfe3d10e78b6,proportion-of-individuals-who-own-a-mobile-by-sex_v12_850x600.svg
5262,share-of-global-cumulative-co-emissions-from-other-industry,undefined,bf35ef074a4dcf33a4de61dc8f16da50,share-of-global-cumulative-co-emissions-from-other-industry_v8_850x600.svg
6083,number-of-children-who-are-underweight,undefined,5dc41603c70b9cd3d5050caa3370307b,number-of-children-who-are-underweight_v5_850x600.svg
558,meat-consumption-vs-gdp-per-capita,ScatterPlot,72cc5ea62aa696422df3352acaac14b6,meat-consumption-vs-gdp-per-capita_v17_850x600.svg
2423,regional-averages-of-the-composite-gender-equality-index,LineChart,d0a3e13c7e4751dfa222484707104ece,regional-averages-of-the-composite-gender-equality-index_v7_850x600.svg
5606,share-people-trust-science,DiscreteBar,f8c48cb262cfd1449edfed70cb31816e,share-people-trust-science_v30_850x600.svg
2611,wine-consumption-per-person,undefined,1f824d603bb2c3654324717965d187ef,wine-consumption-per-person_v16_850x600.svg
3763,deaths-attributed-to-alcohol-use-by-age,StackedArea,38243101a0758d0846a0961630b24e62,deaths-attributed-to-alcohol-use-by-age_v12_850x600.svg
6211,number-of-neonatal-deaths-gho,undefined,5c5d440e70319fa41bca8cb0c9829778,number-of-neonatal-deaths-gho_v2_850x600.svg
1808,secondhand-smoke-deaths-by-age,StackedArea,e0b8454d386fa5d11a741660cf28a76d,secondhand-smoke-deaths-by-age_v14_850x600.svg
5494,cropland-pasture-per-person,undefined,4ea2f6b1ae2c3af8a5b2ee5f4d6a2957,cropland-pasture-per-person_v2_850x600.svg
4546,population-unwpp,undefined,e8bbbdf34f371d3f953fe2766f5fccdc,population-unwpp_v8_850x600.svg
4774,agricultural-land,undefined,8b24f5e48f15fef6abac4eb8773cf614,agricultural-land_v5_850x600.svg
1206,working-children-out-of-school-ages-7-14-vs-hours-worked-by-children-ages-7-14,ScatterPlot,3428df1ccd714f9e147c94738bdb83f9,working-children-out-of-school-ages-7-14-vs-hours-worked-by-children-ages-7-14_v22_850x600.svg
3551,child-mortality-rate-from-rotavirus,DiscreteBar,fc5cf1eb3f7c81b94d518ba36dca1936,child-mortality-rate-from-rotavirus_v4_850x600.svg
2483,share-with-alcohol-use-disorders-receiving-treatment,DiscreteBar,699072ea28953a1a692533fbc8500646,share-with-alcohol-use-disorders-receiving-treatment_v7_850x600.svg
6023,number-ai-publications-by-field,undefined,ae98efa866adc9c017038391db6ef5e1,number-ai-publications-by-field_v28_850x600.svg
4310,the-cost-of-inequality-inequality-and-growth-in-living-standards-among-catch-up-countries,ScatterPlot,c42aaf1bce2554d4d12ca822d00901ba,the-cost-of-inequality-inequality-and-growth-in-living-standards-among-catch-up-countries_v7_850x600.svg
3135,imports-of-goods-and-services-constant-2010-us,undefined,894ae4a71678fa96ccb6720313a3e8bc,imports-of-goods-and-services-constant-2010-us_v11_850x600.svg
3909,gavi-supported-countries,LineChart,c18d024fe581027cb5c2feeb9cd74b85,gavi-supported-countries_v6_850x600.svg
3307,the-duration-of-democracy-and-inequality-in-disposable-income-2015,ScatterPlot,0cbaad382bf62949dba8a55271ca6547,the-duration-of-democracy-and-inequality-in-disposable-income-2015_v9_850x600.svg
1450,alcohol-consumption-vs-gdp-per-capita,ScatterPlot,9c1b6d6fa9db910560662796e08e7aa8,alcohol-consumption-vs-gdp-per-capita_v17_850x600.svg
1696,number-of-deaths-by-age-group,StackedArea,b30659bbe324678d5afa22a4126b454e,number-of-deaths-by-age-group_v20_850x600.svg
2013,air-transport-freight-ton-km,undefined,550717eb20cc2495f954230b46d644df,air-transport-freight-ton-km_v7_850x600.svg
954,cereal-yields-uk,undefined,94081a411db20f91ba2dddb0e7afcd22,cereal-yields-uk_v8_850x600.svg
2221,disease-burden-vs-health-expenditure-per-capita,ScatterPlot,6ffc49759ec89c5b03fbc7082dba3a4a,disease-burden-vs-health-expenditure-per-capita_v24_850x600.svg
5838,progress-towards-guinea-worm-disease-eradication,undefined,d1cf9652e0e1023c505d8fe4ee5c782f,progress-towards-guinea-worm-disease-eradication_v12_850x600.svg
3797,suicide-deaths-firearms,undefined,8d11811a7d555aaadb4757e5e4415c68,suicide-deaths-firearms_v16_850x600.svg
2645,share-of-adults-borrowing-from-a-private-informal-lender,DiscreteBar,c20ec7dbc661101c1b7bb903e0c51a7b,share-of-adults-borrowing-from-a-private-informal-lender_v3_850x600.svg
2477,alcohol-consumption-by-15-19-year-old-males-vs-females,ScatterPlot,0e30e2ad8aedd4d52cc8ff2a1044cd68,alcohol-consumption-by-15-19-year-old-males-vs-females_v14_850x600.svg
4921,number-countries-mandatory-vaccination,undefined,3670bf2143db43d31ad2c931be8a97fb,number-countries-mandatory-vaccination_v9_850x600.svg
3338,size-of-young-working-elderly-populations,StackedArea,2861fbf3f141dd3ab46f573d24681a75,size-of-young-working-elderly-populations_v7_850x600.svg
3936,same-sex-households-us,StackedArea,251e386a7c69e3ddb6330968b2557848,same-sex-households-us_v12_850x600.svg
5699,people-living-in-democracies-autocracies-amb-row,StackedArea,08218664c3ef843607963326091a691f,people-living-in-democracies-autocracies-amb-row_v49_850x600.svg
1239,out-of-school-children-of-primary-school-age-by-world-region,StackedArea,441ac7c462e1351c4c7cb97f1de80c7d,out-of-school-children-of-primary-school-age-by-world-region_v17_850x600.svg
1837,parents-who-agree-with-spanking-to-discipline-a-child,StackedArea,c2ca0ad76f478fb49935cb64556b6e26,parents-who-agree-with-spanking-to-discipline-a-child_v5_850x600.svg
4579,number-children-stunted-ihme,undefined,2f573e40a25e8f755993e752b5e39607,number-children-stunted-ihme_v7_850x600.svg
533,fruit-consumption-per-capita,undefined,8603e5f4d1f159aea618aefbfa00ae57,fruit-consumption-per-capita_v6_850x600.svg
701,co-emissions-embedded-in-global-trade,undefined,14d9c2849e1a63007611f6b814170ac1,co-emissions-embedded-in-global-trade_v22_850x600.svg
5807,basic-state-functions-bti,undefined,b2ab2e8fb1efb731f60e6c05c9cee733,basic-state-functions-bti_v64_850x600.svg
365,share-of-employee-compensation-in-public-spending,undefined,c5624d200d752bb044dedc28c1996297,share-of-employee-compensation-in-public-spending_v7_850x600.svg
5209,total-waste-generation,undefined,33e0e270d297f31ffe7e6dc7e75d7ba9,total-waste-generation_v12_850x600.svg
5655,countries-using-ecosystem-based-approaches-to-manage-marine-areas,undefined,8c06c317b58c4edf23b90a284c5eb822,countries-using-ecosystem-based-approaches-to-manage-marine-areas_v4_850x600.svg
4787,israel-severe-hospitalizations-age,undefined,e22109fcd8c406d98be522eda721fba7,israel-severe-hospitalizations-age_v14_850x600.svg
2470,historical-literacy-in-england-by-sex,LineChart,66ae984d9f531b5b3d763c8582fd7e68,historical-literacy-in-england-by-sex_v4_850x600.svg
3790,suicide-rate-by-firearm,undefined,3d99bacd6c1d4cebb3934a8ed575be22,suicide-rate-by-firearm_v19_850x600.svg
739,news-coverage-of-disasters,DiscreteBar,bd33c4432ceaf95659c3b3ad7a71417f,news-coverage-of-disasters_v3_850x600.svg
5467,covid-vaccine-age,undefined,e380ca6fe16cf84e62bed65bf327f291,covid-vaccine-age_v461_850x600.svg
2226,air-pollutant-emissions,LineChart,46007a67fea97af301427a268ed3c156,air-pollutant-emissions_v3_850x600.svg
5231,countries-with-a-signed-bilateral-investment-treaty,undefined,ec9eec5b9eb524d4be68ebef5e786f48,countries-with-a-signed-bilateral-investment-treaty_v8_850x600.svg
1691,gdp-per-capita-vs-labour-productivity,ScatterPlot,202b43751ea572f00ed6886ca01eef6a,gdp-per-capita-vs-labour-productivity_v19_850x600.svg
2014,extreme-poverty-headcount-ratio-vs-life-expectancy-at-birth,ScatterPlot,407e4462b1ddde8d5327dac2b8788972,extreme-poverty-headcount-ratio-vs-life-expectancy-at-birth_v36_850x600.svg
3300,cost-of-generating-electricity-new-capacity-from-different-sources-in-the-us-20082018,undefined,726c472cf79ee7e91d0d201027259b39,cost-of-generating-electricity-new-capacity-from-different-sources-in-the-us-20082018_v6_850x600.svg
1457,absolute-number-of-deaths-from-household-air-pollution,undefined,8df103b5f5a3acf6ea5798102fe64f24,absolute-number-of-deaths-from-household-air-pollution_v19_850x600.svg
4317,electricity-production-by-source,undefined,16dfce5c59425d0a69d45ac7ca766b65,electricity-production-by-source_v26_850x600.svg
